"CS_TH_COD#","THEME","NIVEAU","THEME_PARENT"
206,Machine Learning,0,
241,Mathematics of Computing,0,
271,Network and Computer Systems Organisations,0,
340,Security,0,
420,"Signal, Images and Graphics",0,
480,Software and Systems Engineering,0,
484,Theory of Computation,0,
492,Applications,0,
1,Artificial Intelligence,0,
49,Computing methodologies,0,
90,Human Centered Computing,0,
131,Information Systems,0,
485,Models of computation,1,484
486,Formal languages and automata theory,1,484
487,Computational complexity and cryptography,1,484
488,Logic,1,484
489,Design and analysis of algorithms,1,484
490,Theory and algorithms for application domains,1,484
491,Semantics and reasoning,1,484
493,Accessibility,1,492
494,Art / Music / Creativity,1,492
495,Astronomy,1,492
496,Bioinformatics,1,492
497,Biometrics,1,492
498,"Building Design, Architecture",1,492
499,Business / Marketing / Advertising / E-commerce,1,492
2,Knowledge Representation and Reasoning,1,1
22,Distributed AI,1,1
27,Natural language processing,1,1
50,Parallel computing methodologies,1,49
51,Modeling and simulation,1,49
52,Distributed computing methodologies,1,49
53,"Decision, Planning and Scheduling",1,49
71,Constraint Satisfaction and Optimization,1,49
81,Evolutionary computation,1,49
91,Cognitive Systems,1,90
102,"Extended Reality - Virtual, Augmented Reality",1,90
108,Human Computer Interaction,1,90
116,Scientific Visualization,1,90
122,Technology Enhanced Learning,1,90
132,Data management systems,1,131
147,Information retrieval,1,131
174,Data Mining & KDD,1,131
198,World Wide Web,1,131
207,Supervised learning,1,206
212,Unsupervised learning,1,206
217,Deep learning,1,206
222,Reinforcement learning,1,206
223,Symbolic learning,1,206
224,Other learning paradigms,1,206
231,Learning theory,1,206
236,Trustworthy machine learning,1,206
242,Probability and statistics,1,241
252,Numerical analysis,1,241
253,Optimization,1,241
261,Differential equations,1,241
262,Calculus,1,241
263,Functional analysis,1,241
264,Discrete mathematics,1,241
267,Mathematical software,1,241
272,Architectures,1,271
288,Systems,1,271
314,Networks,1,271
341,"Cryptology design, techniques and protocoles",1,340
500,Cloud,1,492
501,Communication,1,492
502,Cultural Heritage,1,492
503,Design,1,492
504,Economic / Financial,1,492
505,"Entertainment, Games",1,492
506,"Green Computing, Energy, Environment & Sustainability",1,492
507,"Healthcare, Medicine & Wellness",1,492
508,Humanities & Computational Social Science,1,492
509,"Internet of Things, Sensor Networks, Smart Cities",1,492
510,Microscopy,1,492
511,Misinformation and Fake News,1,492
512,"Mobility, Driving & Flight",1,492
513,Natural Sciences,1,492
514,Robotics,1,492
515,"Semantics Web, Information Retrieval",1,492
516,Transportation,1,492
517,Web,1,492
518,Other Applications,1,492
353,"Formal methods, and theory of security and privacy",1,340
358,Security services,1,340
364,Intrusion/anomaly detection and malware mitigation,1,340
368,Security in hardware,1,340
374,Systems security,1,340
385,Network security,1,340
393,Database and storage security and privacy,1,340
399,Software and application security,1,340
406,"Human, societal and ethical aspects of security and privacy",1,340
416,Forensics,1,340
421,"Audio, Speech and Language Processing",1,420
425,Biomedical Signal and Image Processing,1,420
431,Computer Graphics,1,420
437,Computer Vision,1,420
444,Geoscience and Remote Sensing for Earth observation,1,420
449,Image and Video Processing,1,420
