IDTHEME,LIBTHEME,IDTHEMEPARENT,IDTHEMEPARENT;
"162,""Structured Text, Mathematics, genomics, chemical..."",""161"",""Structure and multimedia based IR""";
"163,""Multilingual/cross lingual"",""161"",""Structure and multimedia based IR""";
"164,""image search/ video search"",""161"",""Structure and multimedia based IR""";
"165,""Speech, audio search, music search"",""161"",""Structure and multimedia based IR""";
"167,""Local and mobile search"",""166"",""Environment specific IR""";
"168,""Social media /Web search"",""166"",""Environment specific IR""";
"169,""Desktop search"",""166"",""Environment specific IR""";
"170,""Enterprise search"",""166"",""Environment specific IR""";
"175,""Theoretical Foundations of Data Mining"",""174"",""Data Mining & KDD""";
"176,""Core Tasks"",""174"",""Data Mining & KDD""";
"183,""Automated data science "",""174"",""Data Mining & KDD""";
"184,""Data-specific"",""174"",""Data Mining & KDD""";
"195,""Parallel, Distributed and Cloud-based High Performance Mining"",""174"",""Data Mining & KDD""";
"196,""Ethics in Data mining: Explainability, Fairness, Privacy Preserving"",""174"",""Data Mining & KDD""";
"197,""Data mining Architecture"",""174"",""Data Mining & KDD""";
"177,""Anomaly / Outlier Detection"",""175"",""Theoretical Foundations of Data Mining""";
"178,""Exploratory Data Mining"",""175"",""Theoretical Foundations of Data Mining""";
"179,""Frequent Pattern Mining"",""175"",""Theoretical Foundations of Data Mining""";
"180,""Clustering / Classification"",""175"",""Theoretical Foundations of Data Mining""";
"181,""Interactive & Data Visualisation"",""175"",""Theoretical Foundations of Data Mining""";
"182,""Recommender Systems / Collaborative Filtering"",""175"",""Theoretical Foundations of Data Mining""";
"185,""Mining Text"",""183"",""Automated data science """;
"186,""Mining Social Media Networks"",""183"",""Automated data science """;
"187,""Mining Data Streams"",""183"",""Automated data science """;
"188,""Mining Graphs,	Time-evolving networks"",""183"",""Automated data science """;
"189,""Mining Heterogeneous Data / Multimedia"",""183"",""Automated data science """;
"190,""Mining Semi Structured Data"",""183"",""Automated data science """;
"191,""Mining Spatial and/or Temporal Data"",""183"",""Automated data science """;
"192,""Mining Codebase and Software Repository"",""183"",""Automated data science """;
"193,""Knowledge Graphs and Knowledge Base Completion"",""183"",""Automated data science """;
"194,""Others"",""183"",""Automated data science """;
"199,""Web search"",""198"",""World Wide Web""";
"200,""Web services"",""198"",""World Wide Web""";
"201,""Web and society, Web and citizens"",""198"",""World Wide Web""";
"204,""Social Web"",""198"",""World Wide Web""";
"205,""Economics and Online Markets"",""198"",""World Wide Web""";
"202,""Governance, politics, democracy, engagement"",""199"",""Web search""";
"203,""Applications based on the Web "",""199"",""Web search""";
"207,""Supervised learning"",""206"",""Machine Learning""";
"212,""Unsupervised learning"",""206"",""Machine Learning""";
"217,""Deep learning"",""206"",""Machine Learning""";
"222,""Reinforcement learning"",""206"",""Machine Learning""";
"223,""Symbolic learning"",""206"",""Machine Learning""";
"224,""Other learning paradigms"",""206"",""Machine Learning""";
"231,""Learning theory"",""206"",""Machine Learning""";
"236,""Trustworthy machine learning"",""206"",""Machine Learning""";
"208,""Regression"",""207"",""Supervised learning""";
"209,""Classification"",""207"",""Supervised learning""";
"210,""Kernel methods"",""207"",""Supervised learning""";
"211,""Ensemble methods"",""207"",""Supervised learning""";
"213,""Clustering"",""212"",""Unsupervised learning""";
"214,""Dimensionality reduction and manifold learning"",""212"",""Unsupervised learning""";
"215,""Matrix and tensor factorization"",""212"",""Unsupervised learning""";
"216,""Topic models"",""212"",""Unsupervised learning""";
"218,""Algorithms"",""217"",""Deep learning""";
"219,""Architectures"",""217"",""Deep learning""";
"220,""Generative models"",""217"",""Deep learning""";
"221,""Attention models"",""217"",""Deep learning""";
"225,""Semi-supervised learning"",""222"",""Reinforcement learning""";
"226,""Online learning"",""222"",""Reinforcement learning""";
"227,""Multi-task learning"",""222"",""Reinforcement learning""";
"228,""Multi-agent learning"",""222"",""Reinforcement learning""";
"229,""Automatic learning"",""222"",""Reinforcement learning""";
"230,""Bio-inspired approaches"",""222"",""Reinforcement learning""";
"232,""Approximation theory"",""231"",""Learning theory""";
"233,""Game theory"",""231"",""Learning theory""";
"234,""Statistical learning"",""231"",""Learning theory""";
"235,""Information theory"",""231"",""Learning theory""";
"237,""Fairness, accountability and transparency"",""236"",""Trustworthy machine learning""";
"238,""Privacy and security"",""236"",""Trustworthy machine learning""";
"239,""Causality"",""236"",""Trustworthy machine learning""";
"240,""Robustness"",""236"",""Trustworthy machine learning""";
"242,""Probability and statistics"",""241"",""Mathematics of Computing""";
"252,""Numerical analysis"",""241"",""Mathematics of Computing""";
"253,""Optimization"",""241"",""Mathematics of Computing""";
"261,""Differential equations"",""241"",""Mathematics of Computing""";
"262,""Calculus"",""241"",""Mathematics of Computing""";
"263,""Functional analysis"",""241"",""Mathematics of Computing""";
"264,""Discrete mathematics"",""241"",""Mathematics of Computing""";
"267,""Mathematical software"",""241"",""Mathematics of Computing""";
"243,""Statistical estimation"",""242"",""Probability and statistics""";
"244,""Information theory"",""242"",""Probability and statistics""";
"245,""Bayesian inference"",""242"",""Probability and statistics""";
"246,""Monte-Carlo methods"",""242"",""Probability and statistics""";
"247,""Variational inference"",""242"",""Probability and statistics""";
"248,""Stochastic processes"",""242"",""Probability and statistics""";
"249,""Nonparametric statistics"",""242"",""Probability and statistics""";
"250,""Graphical models"",""242"",""Probability and statistics""";
"251,""Time series and sequences"",""242"",""Probability and statistics""";
"254,""Convex optimization"",""252"",""Numerical analysis""";
"255,""Non-convex optimization"",""252"",""Numerical analysis""";
"256,""Non-smooth optimization"",""252"",""Numerical analysis""";
"257,""Discrete and combinatorial Optimization"",""252"",""Numerical analysis""";
"258,""Large-scale optimization"",""252"",""Numerical analysis""";
"259,""Optimal transport"",""252"",""Numerical analysis""";
"260,""Genetic algorithms"",""252"",""Numerical analysis""";
"265,""Combinatorics"",""261"",""Differential equations""";
"266,""Graph theory"",""261"",""Differential equations""";
"268,""Solvers"",""267"",""Mathematical software""";
"269,""Statistical software"",""267"",""Mathematical software""";
"270,""Mathematical software performance"",""267"",""Mathematical software""";
"272,""Architectures"",""271"",""Network and Computer Systems Organisations""";
